Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,156,9,17,0,182
Beef Chow Mein,183,4,13,0,200
Shepherd's Pie,108,0,11,0,119
Beef Burrito Bowl,152,11,5,0,168
Beef Meatballs,128,10,14,0,152
Lebanese Beef Stew,110,0,0,0,110
Mongolian Beef,213,10,0,0,223
Chicken with Vegetables,36,2,0,0,38
Chicken with Sweet Potato and Beans,100,0,6,0,106
Naked Chicken Parma,387,23,12,0,422
Chicken Pesto Pasta,252,6,14,0,272
Chicken and Broccoli Pasta,119,0,4,0,123
Butter Chicken,233,14,14,0,261
Thai Green Chicken Curry,205,7,0,0,212
Moroccan Chicken,61,0,1,0,62
Steak with Mushroom Sauce,192,13,5,0,210
Creamy Chicken & Mushroom Gnocchi,167,0,1,0,168
Roasted Lemon Chicken & Potatoes,95,5,9,0,109
Beef Lasagna,332,9,26,0,367
Bean Nachos with Rice,0,0,0,0,0
Lamb Souvlaki,138,18,0,0,156
Chicken Fajita Bowl,94,8,0,0,102
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,2,0,0,0,2
Baked Family Lasagna,11,0,0,0,11
